false_rate,path_0,path_1,path_2,path_3,r1,r5
x,clip_resnet,t2i_seed1,mixup_0.6,RN50x64log.txt, 30.835665733706517, 55.65373850459816
x,clip_resnet,t2i_seed1,mixup_0.9,RN50x16log.txt, 16.88924430227909, 46.96921231507397
x,clip_resnet,t2i_seed1,mixup_0.9,RN50log.txt, 20.975609756097562, 46.477409036385446
x,clip_resnet,t2i_seed1,mixup_0.9,RN50x4log.txt, 17.473010795681727, 45.34986005597761
x,clip_resnet,t2i_seed1,mixup_0.9,RN50x64log.txt, 26.217512994802078, 54.13034786085566
x,clip_resnet,t2i_seed1,cutmix_0.8,RN50x16log.txt, 24.9140343862455, 50.323870451819275
x,clip_resnet,t2i_seed1,cutmix_0.8,RN50log.txt, 24.49420231907237, 48.932427029188325
x,clip_resnet,t2i_seed1,cutmix_0.8,RN50x4log.txt, 24.78608556577369, 49.768092762894845
x,clip_resnet,t2i_seed1,cutmix_0.8,RN50x64log.txt, 29.77608956417433, 54.73810475809676
x,clip_resnet,t2i_seed1,mixup_0.7,RN50x16log.txt, 22.870851659336264, 48.21671331467413
x,clip_resnet,t2i_seed1,mixup_0.7,RN50log.txt, 24.45421831267493, 48.376649340263896
x,clip_resnet,t2i_seed1,mixup_0.7,RN50x4log.txt, 23.402638944422232, 47.48100759696121
x,clip_resnet,t2i_seed1,mixup_0.7,RN50x64log.txt, 29.368252698920433, 55.15793682526989
x,clip_resnet,t2i_seed1,mixup_0.8,RN50x16log.txt, 19.572171131547382, 47.10515793682527
x,clip_resnet,t2i_seed1,mixup_0.8,RN50log.txt, 22.694922031187524, 47.377049180327866
x,clip_resnet,t2i_seed1,mixup_0.8,RN50x4log.txt, 20.23190723710516, 46.26949220311875
x,clip_resnet,t2i_seed1,mixup_0.8,RN50x64log.txt, 27.72890843662535, 54.42622950819672
x,clip_resnet,t2i_seed1,cutmix_0.9,RN50x16log.txt, 22.10715713714514, 48.48460615753699
x,clip_resnet,t2i_seed1,cutmix_0.9,RN50log.txt, 23.33466613354658, 47.93682526989204
x,clip_resnet,t2i_seed1,cutmix_0.9,RN50x4log.txt, 22.558976409436227, 48.188724510195925
x,clip_resnet,t2i_seed1,cutmix_0.9,RN50x64log.txt, 28.064774090363855, 53.73450619752099
x,clip_resnet,t2i_seed1,cutmix_0.6,RN50x16log.txt, 27.309076369452217, 51.79928028788485
x,clip_resnet,t2i_seed1,cutmix_0.6,RN50log.txt, 25.581767293082766, 49.69612155137945
x,clip_resnet,t2i_seed1,cutmix_0.6,RN50x4log.txt, 26.953218712514992, 51.16353458616553
x,clip_resnet,t2i_seed1,cutmix_0.6,RN50x64log.txt, 31.17153138744502, 55.48180727708917
x,clip_resnet,i2t,new_noun_least_sim_bert_up,RN50x16log.txt, 46.68, 71.46
x,clip_resnet,i2t,new_noun_least_sim_bert_up,RN50log.txt, 42.78, 67.12
x,clip_resnet,i2t,new_noun_least_sim_bert_up,RN50x4log.txt, 44.96, 70.1
x,clip_resnet,i2t,new_noun_least_sim_bert_up,RN50x64log.txt, 51.12, 75.38
x,clip_resnet,i2t,new_noun_big_sim_criminal,RN50x16log.txt, 43.22, 72.76
x,clip_resnet,i2t,new_noun_big_sim_criminal,RN50log.txt, 43.84, 69.22
x,clip_resnet,i2t,new_noun_big_sim_criminal,RN50x4log.txt, 42.14, 71.24
x,clip_resnet,i2t,new_noun_big_sim_criminal,RN50x64log.txt, 49.0, 77.06
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random_seed1000,RN50x16log.txt, 38.42, 69.58
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random_seed1000,RN50log.txt, 37.42, 65.44
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random_seed1000,RN50x4log.txt, 37.42, 67.28
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random_seed1000,RN50x64log.txt, 43.98, 73.92
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random,RN50x16log.txt, 37.12, 69.1
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random,RN50log.txt, 37.34, 65.08
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random,RN50x4log.txt, 35.9, 67.28
x,clip_resnet,i2t,new_max_noun_big_sim_bert_random,RN50x64log.txt, 43.2, 73.8
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_down,RN50x16log.txt, 41.58, 70.3
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_down,RN50log.txt, 38.86, 66.22
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_down,RN50x4log.txt, 40.38, 68.88
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_down,RN50x64log.txt, 45.56, 74.3
x,clip_resnet,i2t,new_wsl_noun_big_sim_criminal,RN50x16log.txt, 43.16, 73.0
x,clip_resnet,i2t,new_wsl_noun_big_sim_criminal,RN50log.txt, 43.78, 69.3
x,clip_resnet,i2t,new_wsl_noun_big_sim_criminal,RN50x4log.txt, 42.38, 71.34
x,clip_resnet,i2t,new_wsl_noun_big_sim_criminal,RN50x64log.txt, 49.14, 77.34
x,clip_resnet,i2t,new_max_noun_big_sim_criminal,RN50x16log.txt, 43.32, 73.18
x,clip_resnet,i2t,new_max_noun_big_sim_criminal,RN50log.txt, 43.96, 69.44
x,clip_resnet,i2t,new_max_noun_big_sim_criminal,RN50x4log.txt, 42.5, 71.34
x,clip_resnet,i2t,new_max_noun_big_sim_criminal,RN50x64log.txt, 49.22, 77.26
x,clip_resnet,i2t,new_clip_noun_big_sim_criminal,RN50x16log.txt, 45.36, 73.56
x,clip_resnet,i2t,new_clip_noun_big_sim_criminal,RN50log.txt, 44.38, 69.96
x,clip_resnet,i2t,new_clip_noun_big_sim_criminal,RN50x4log.txt, 44.14, 71.78
x,clip_resnet,i2t,new_clip_noun_big_sim_criminal,RN50x64log.txt, 50.92, 77.66
x,clip_resnet,i2t,new_noun_big_sim_occured_random,RN50x16log.txt, 42.32, 71.74
x,clip_resnet,i2t,new_noun_big_sim_occured_random,RN50log.txt, 38.7, 66.18
x,clip_resnet,i2t,new_noun_big_sim_occured_random,RN50x4log.txt, 40.28, 69.5
x,clip_resnet,i2t,new_noun_big_sim_occured_random,RN50x64log.txt, 46.1, 75.12
x,clip_resnet,i2t,new_region_noun_big_sim_bert_random,RN50x16log.txt, 37.4, 68.98
x,clip_resnet,i2t,new_region_noun_big_sim_bert_random,RN50log.txt, 37.4, 65.26
x,clip_resnet,i2t,new_region_noun_big_sim_bert_random,RN50x4log.txt, 36.28, 67.74
x,clip_resnet,i2t,new_region_noun_big_sim_bert_random,RN50x64log.txt, 43.52, 73.96
x,clip_resnet,i2t,new_noun_least_sim_occured_random_noun,RN50x16log.txt, 47.16, 72.64
x,clip_resnet,i2t,new_noun_least_sim_occured_random_noun,RN50log.txt, 43.24, 67.38
x,clip_resnet,i2t,new_noun_least_sim_occured_random_noun,RN50x4log.txt, 45.88, 71.2
x,clip_resnet,i2t,new_noun_least_sim_occured_random_noun,RN50x64log.txt, 50.86, 75.9
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_down,RN50x16log.txt, 39.02, 70.14
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_down,RN50log.txt, 37.08, 65.76
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_down,RN50x4log.txt, 37.56, 68.6
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_down,RN50x64log.txt, 43.02, 73.54
x,clip_resnet,i2t,new_noun_big_sim_bert_down,RN50x16log.txt, 37.4, 69.7
x,clip_resnet,i2t,new_noun_big_sim_bert_down,RN50log.txt, 36.36, 64.88
x,clip_resnet,i2t,new_noun_big_sim_bert_down,RN50x4log.txt, 36.18, 67.82
x,clip_resnet,i2t,new_noun_big_sim_bert_down,RN50x64log.txt, 41.74, 73.12
x,clip_resnet,i2t,new_noun_big_sim_oneletter_down,RN50x16log.txt, 29.18, 64.52
x,clip_resnet,i2t,new_noun_big_sim_oneletter_down,RN50log.txt, 33.3, 63.18
x,clip_resnet,i2t,new_noun_big_sim_oneletter_down,RN50x4log.txt, 30.28, 62.84
x,clip_resnet,i2t,new_noun_big_sim_oneletter_down,RN50x64log.txt, 40.4, 72.26
x,clip_resnet,i2t,new_region_noun_big_sim_criminal,RN50x16log.txt, 43.34, 72.94
x,clip_resnet,i2t,new_region_noun_big_sim_criminal,RN50log.txt, 43.96, 69.46
x,clip_resnet,i2t,new_region_noun_big_sim_criminal,RN50x4log.txt, 42.78, 71.46
x,clip_resnet,i2t,new_region_noun_big_sim_criminal,RN50x64log.txt, 49.6, 77.34
x,clip_resnet,i2t,new_noun_big_sim_same_cate_seed_2,RN50x16log.txt, 39.06, 70.04
x,clip_resnet,i2t,new_noun_big_sim_same_cate_seed_2,RN50log.txt, 36.0, 64.94
x,clip_resnet,i2t,new_noun_big_sim_same_cate_seed_2,RN50x4log.txt, 37.72, 68.06
x,clip_resnet,i2t,new_noun_big_sim_same_cate_seed_2,RN50x64log.txt, 41.72, 73.42
x,clip_resnet,i2t,testall_random_noun_bert_up,RN50x16log.txt, 41.42, 70.6
x,clip_resnet,i2t,testall_random_noun_bert_up,RN50log.txt, 39.88, 66.12
x,clip_resnet,i2t,testall_random_noun_bert_up,RN50x4log.txt, 40.64, 68.66
x,clip_resnet,i2t,testall_random_noun_bert_up,RN50x64log.txt, 46.36, 74.52
x,clip_resnet,i2t,new_noun_big_sim_table,RN50x16log.txt, 43.8, 73.1
x,clip_resnet,i2t,new_noun_big_sim_table,RN50log.txt, 37.48, 65.64
x,clip_resnet,i2t,new_noun_big_sim_table,RN50x4log.txt, 41.24, 70.48
x,clip_resnet,i2t,new_noun_big_sim_table,RN50x64log.txt, 46.08, 74.62
x,clip_resnet,i2t,new_noun_big_sim_question,RN50x16log.txt, 36.24, 69.92
x,clip_resnet,i2t,new_noun_big_sim_question,RN50log.txt, 37.62, 66.04
x,clip_resnet,i2t,new_noun_big_sim_question,RN50x4log.txt, 36.44, 68.8
x,clip_resnet,i2t,new_noun_big_sim_question,RN50x64log.txt, 40.88, 73.22
x,clip_resnet,i2t,new_max_noun_big_sim_bert_down,RN50x16log.txt, 39.02, 69.94
x,clip_resnet,i2t,new_max_noun_big_sim_bert_down,RN50log.txt, 37.04, 65.5
x,clip_resnet,i2t,new_max_noun_big_sim_bert_down,RN50x4log.txt, 37.38, 68.52
x,clip_resnet,i2t,new_max_noun_big_sim_bert_down,RN50x64log.txt, 42.78, 73.36
x,clip_resnet,i2t,new_noun_big_sim_diff_cate_seed_2,RN50x16log.txt, 40.16, 70.96
x,clip_resnet,i2t,new_noun_big_sim_diff_cate_seed_2,RN50log.txt, 37.86, 65.92
x,clip_resnet,i2t,new_noun_big_sim_diff_cate_seed_2,RN50x4log.txt, 39.1, 69.04
x,clip_resnet,i2t,new_noun_big_sim_diff_cate_seed_2,RN50x64log.txt, 44.82, 74.22
x,clip_resnet,i2t,new_region_noun_big_sim_bert_down,RN50x16log.txt, 39.26, 70.16
x,clip_resnet,i2t,new_region_noun_big_sim_bert_down,RN50log.txt, 37.44, 65.6
x,clip_resnet,i2t,new_region_noun_big_sim_bert_down,RN50x4log.txt, 37.76, 68.7
x,clip_resnet,i2t,new_region_noun_big_sim_bert_down,RN50x64log.txt, 43.08, 73.56
